GeneSymbol	C1_rpkm	C2_rpkm	C3_rpkm	C4_rpkm	C5_rpkm	C6_rpkm	C7_rpkm	C8_rpkm	A9_rpkm	A10_rpkm	A11_rpkm	A12_rpkm	A13_rpkm	A14_rpkm	A15_rpkm	A16_rpkm	A17_rpkm
PTRF	5.334081244	7.388270723	6.319593	5.687826225	20.63328355	9.416030185	6.187718041	4.10836591	5.045093083	3.780460616	6.914243825	8.202573054	15.57173459	7.601366772	8.313365043	5.64641044	6.983144703
FAM27L	1.043876485	3.593386939	0.671738061	0.678277882	0.548468424	0.0	0.429175696	0.288492519	0.165626322	0.272322827	0.867130746	0.460196786	0.449720264	0.723106724	0.137823181	0.291212786	1.258214724
SLC26A11	7.780640867	13.00158451	10.30009538	12.15089016	8.391293105	10.84404485	9.241165987	11.49057061	9.696773529	8.573532172	9.537259914	9.186542968	10.78861703	9.846223017	12.57746335	12.26761627	12.23448081
FLJ35220	2.76586739	3.863204522	3.654546192	2.975974172	2.13083835	2.966156222	3.685394208	3.766059961	2.520809895	4.599180548	2.851346457	3.159758768	3.024048746	3.487515462	3.739888973	3.361969838	3.212640225
GDPD1	20.59406198	10.20062357	15.60012226	17.80136006	8.87460887	15.3160156	17.13009995	15.73459837	17.78077794	19.23866827	15.21501452	14.68350711	6.032897151	19.16729029	14.34301669	15.52217803	14.03267556
C17orf89	25.490374	21.11655186	33.33420161	27.80895272	34.46164223	15.69499095	13.5196305	12.63185099	18.58342121	22.75467948	25.07465979	25.40344956	36.92123061	24.6038139	15.16214964	16.52311879	15.95367589
C17orf55	0.015656104	0.147498741	0.174629106	0.024044896	0.32081216	0.052746141	0.02789278	0.014062175	0.016146459	0.035397348	0.07044518	0.038454284	0.21044162	0.070493706	0.107488053	0.094631805	0.102216606
TMEM105	0.0	0.034951465	0.020690153	0.045581642	0.0	0.0	0.0	0.013328754	0.015304332	0.067102359	0.0	0.02429912	0.0	0.033408533	0.012735244	0.008969623	0.019377088
LGALS9B	0.128407281	0.0	0.0	0.164341637	0.116943007	0.036050841	0.025418812	0.0	0.088286031	0.290319814	0.0	0.0	0.0	0.0	0.0	0.025871513	0.055890263
METRNL	1.590722883	2.902307948	2.217877079	1.359165928	5.662181301	4.453435653	1.543408961	1.871491806	1.155313329	1.114412274	1.754094593	1.650891259	6.449647713	1.916710063	2.441891776	1.706318704	2.194144361
LAMA1	1.728604372	3.692634989	2.428802455	2.088868702	3.716017905	1.136157616	2.127383854	1.7010587	2.413845832	1.79254483	1.973620792	3.4631747	5.503563958	3.958675759	1.678979	2.038379394	3.470318718
KCTD1	9.067356268	6.101790011	9.270967322	11.73745271	4.128908783	7.127946897	9.436176429	9.617935666	7.837321328	8.102639258	10.18029245	8.413527552	8.995825451	9.979929968	8.003899889	9.813019385	10.5995393
C18orf26	0.0	0.0	0.0	0.0	0.0	0.021023563	0.029646687	0.0	0.025742631	0.0	0.0	0.0	0.027959282	0.037463186	0.021421301	0.015087343	0.032593206
SIGLEC15	0.163530868	0.616260519	0.182403292	0.301383999	0.580829883	0.110188616	0.097115061	0.264387579	0.134922173	0.258812237	0.088297533	0.187442279	0.696065371	0.269983867	0.168409854	0.29653395	0.298947917
